Lambda,Alpha,Dimension,m,k,ACC,NMI,Purity,Fscore,Precision,Recall,AR,Entropy,,,,,,,,
100000,0.1,20,20,3,89.89,82.75908659,89.89,82.08810042,81.6210423,82.56085427,80.09496067,57.60795788,,,,,,,,
100000,1,20,20,3,88.88,81.9617861,88.88,80.57050943,79.85646988,81.30060302,78.40062591,60.45194463,,,,,,,,
100000,10,20,20,3,87.65,81.30598052,87.805,79.37266923,78.50457845,80.26351759,77.06158035,62.7513567,,,,,,,,
100000,100,20,20,3,87.085,81.18850607,87.51,79.32975091,78.31090826,80.40864322,77.00654307,63.26907189,,,,,,,,
100000,1000,20,20,3,88.12,81.63806557,88.46,80.04631526,79.23782021,80.87994975,77.81185011,61.59236142,,,,,,,,
100000,10000,20,20,3,85.66,80.3543718,86.53,77.91118988,76.62740829,79.26829146,75.41546941,66.22855196,,,,,,,,
100000,100000,20,20,3,85.695,80.38556261,86.56,77.92139084,76.63375466,79.28336683,75.42608523,66.12985782,,,,,,,,
0.001,1.00E-05,30,30,3,85.12,82.35106037,85.95,79.16466678,77.24882714,81.2379397,76.7915346,60.06110836,,,,,,,,
0.001,0.0001,30,30,3,84.985,82.28257835,85.815,79.06322001,77.15994739,81.12316583,76.67904833,60.2790683,,,,,,,,
0.001,0.001,30,30,3,85.7,82.62470982,86.395,79.52214798,77.65061917,81.55301508,77.19316058,59.16416713,,,,,,,,
0.001,0.01,30,30,3,85.095,82.23809847,85.755,78.96929725,77.09054163,81.00477387,76.57372653,60.43549684,,,,,,,,
0.001,0.1,30,30,3,82.255,82.55428108,84.8,77.29568507,73.1885447,82.03150754,74.61796126,61.21995272,,,,,,,,
0.001,1,30,30,3,88.25,83.5301554,88.525,81.34430878,80.02934291,82.75301508,79.23930187,55.72553191,,,,,,,,
0.001,10,30,30,3,83.29,81.88454393,84.995,77.64250441,74.88853653,80.78015075,75.05617539,62.43326437,,,,,,,,
0.001,100,30,30,3,82.66,81.2913272,84.485,76.9283631,74.13369592,80.14532663,74.24419231,64.48680779,,,,,,,,
0.001,1000,30,30,3,81.18,80.39643191,82.835,75.36837924,72.33421941,78.89386935,72.49369117,67.70474106,,,,,,,,
0.001,10000,30,30,3,81.79,81.05535235,83.815,76.29497979,73.21435497,79.86748744,73.52812461,65.5132339,,,,,,,,
